customer_id,source_id,first_name,middle_name,last_name,dob,gender,nationality,marital_status,occupation,avg_family_size,income_level,date_onboarded,created_date,updated_date,effective_start_date,effective_end_date,Identifier_type,identifier
13,ERP,TADEO,,Conibear,12/28/1952 0:00,Male,American,Married,Marketing Manager,3,High,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,508-73-7103
14,ERP,MAURA,,Orr,12/30/1979 0:00,Female,American,Married,Environmental Specialist,4,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,903-20-4814
15,ERP,JEAN,,Crennell,12/26/1976 0:00,Female,American,Married,Media Manager III,5,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,072-59-5401
16,ERP,SALVIDOR,,Woltering,12/30/1951 0:00,Male,American,Married,Quality Control Specialist,6,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,206-03-9274
17,ERP,ANDRE,,Allmen,1/1/1984 0:00,Male,American,Married,Senior Editor,2,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,664-02-0131
18,ERP,MAXY,,Algeo,12/28/1986 0:00,Male,American,Married,Financial Analyst,3,Low,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,005-65-5131
19,ERP,WOODIE,,Holberry,12/26/1993 0:00,Male,American,Single,Engineer IV,4,High,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,149-57-2860
20,ERP,WALLIW,,Lunney,12/31/1989 0:00,Female,American,Married,Software Test Engineer II,5,Medium,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,281-23-9631
21,ERP,NANA,,Nyland,12/26/1965 0:00,FeMale,American,Married,Payment Adjustment Coordinator,6,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,450-69-3494
22,ERP,WAINWRIGHT,,Bane,1/1/1989 0:00,Male,American,Married,Clinical Specialist,2,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,756-08-0829
23,ERP,ORAN,,Gedney,12/28/1958 0:00,Male,American,Married,Staff Accountant IV,3,Medium,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,955-55-0092
24,ERP,ANASTASIE,,Myrick,12/27/1981 0:00,Female,American,Married,VP Sales,4,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,089-76-0947
25,ERP,DORELIA,,Huton,12/29/1963 0:00,Female,American,Married,Senior Cost Accountant,5,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,037-51-6136
26,ERP,CODI,,Chiechio,12/28/1958 0:00,Female,American,Married,Quality Engineer,6,Medium,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,650-25-4358
27,ERP,PANCHO,,Zorzetti,12/30/1984 0:00,Male,American,Married,Assistant Manager,2,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,122-39-7760
28,ERP,EV,,Borges,12/30/1962 0:00,Male,American,Married,Geological Engineer,3,High,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,150-86-2566
29,ERP,WELSH,,Mallett,1/1/1984 0:00,Male,American,Married,Automation Specialist II,4,Medium,1/1/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,560-48-0280
30,ERP,VANIA,,Duffill,12/30/1984 0:00,Female,American,Married,Business Systems Development Analyst,5,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,637-95-4885
31,ERP,JETH,,Woolger,12/27/1953 0:00,Male,American,Married,Nurse Practicioner,6,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,495-47-1468
32,ERP,GIANNA,,Trusty,1/1/1989 0:00,Female,American,Married,Marketing Assistant,2,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,633-96-8076
33,ERP,PALM,,Catling,12/26/1965 0:00,Male,American,Married,Technical Writer,3,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,242-30-4328
34,ERP,PHILIP,,Pierce,12/30/1984 0:00,Male,American,Married,Analog Circuit Design manager,4,High,1/1/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,305-92-0442
35,ERP,LIBBIE,,Jeffress,12/27/1981 0:00,Female,American,Married,Structural Analysis Engineer,5,Medium,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,169-57-2385
36,ERP,MERRICK,,Enderlein,12/31/1978 0:00,Male,American,Married,Actuary,6,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,110-63-0452
37,ERP,TIEBOLD,,Freeman,1/1/1950 0:00,Male,American,Married,Compensation Analyst,2,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,243-45-9149
38,ERP,IRIS,,Vanni,12/30/1979 0:00,Female,American,Married,Director of Sales,3,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,665-76-6636
39,ERP,BRANDIE,,Glader,12/26/1993 0:00,Female,American,Single,Financial Analyst,4,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,760-03-4090
40,ERP,CHRISTIANA,,Osborn,12/27/1987 0:00,Female,American,Married,Librarian,5,High,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,629-43-0905
41,ERP,LOREN,,Erbain,12/27/1987 0:00,Female,American,Married,VP Marketing,6,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,772-09-0325
42,ERP,DONOVAN,,Maplethorp,12/28/1952 0:00,Male,American,Married,Geological Engineer,2,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,523-46-9926
43,ERP,REIDER,,Moralas,12/29/1957 0:00,Male,American,Married,Geologist II,3,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,703-17-9336
44,ERP,HEDWIGA,,Glamart,12/27/1959 0:00,Female,American,Married,Media Manager II,5,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,704-60-8929
45,ERP,PATRICE,,Strauss,12/27/1987 0:00,Male,American,Married,Web Developer III,6,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,655-61-2966
46,ERP,DALLI,,Dumphy,12/29/1974 0:00,Male,American,Married,Recruiting Manager,2,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,972-25-6805
47,ERP,VASSILI,,Burnell,12/30/1951 0:00,Male,American,Married,Data Coordiator,3,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,409-27-4904
48,ERP,RICARDO,,Rumin,12/30/1962 0:00,Male,American,Married,Administrative Assistant I,4,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,781-21-1869
49,ERP,WENDI,,Painten,1/1/1956 0:00,Female,American,Married,Account Coordinator,5,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,465-44-8990
50,ERP,BARRIE,,Fourman,12/26/1993 0:00,Female,American,Single,Analog Circuit Design manager,6,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,279-09-4701
51,ERP,TOMASINE,,Parmiter,12/30/1956 0:00,Female,American,Married,Analog Circuit Design manager,2,Low,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,696-40-8238
52,ERP,MOSES,,Jojic,12/31/1967 0:00,Male,American,Married,Senior Financial Analyst,3,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,173-74-4746
53,ERP,LIZ,,Sange,12/27/1987 0:00,Female,American,Married,Pharmacist,4,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,437-95-9397
54,ERP,ETHEL,,Bearham,12/27/1964 0:00,Female,American,Married,VP Quality Control,5,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,267-09-7644
55,ERP,PAIGE,,Hardey,12/26/1954 0:00,Female,American,Married,Assistant Manager,6,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,203-01-7873
56,ERP,ERNESTUS,,Ratley,12/30/1984 0:00,Male,American,Married,Pharmacist,2,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,870-40-6035
57,ERP,JACKSON,,Yegoshin,12/27/1953 0:00,Male,American,Married,Compensation Analyst,3,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,159-98-9549
58,ERP,REDD,,Naire,12/26/1993 0:00,Male,American,Single,Database Administrator III,4,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,799-63-3348
59,ERP,CLIO,,Keets,12/28/1969 0:00,Female,American,Married,Actuary,5,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,754-28-3682
60,ERP,BERYLE,,Auty,12/26/1976 0:00,Female,American,Married,Assistant Professor,6,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,373-28-4860
61,ERP,AUDRIE,,Birkenshaw,12/26/1965 0:00,Female,American,Married,Help Desk Operator,2,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,828-79-6933
62,ERP,WAYLON,,Lighten,12/30/1990 0:00,Male,American,Single,Senior Editor,3,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,447-54-3347
63,ERP,DELORIA,,Goodluck,12/29/1963 0:00,Female,American,Married,Physical Therapy Assistant,4,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,626-75-4777
64,ERP,KAREL,,Stoter,12/30/1962 0:00,Male,American,Married,Systems Administrator I,5,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,568-79-7354
65,ERP,BRADFORD,,Crosser,12/31/1950 0:00,Male,American,Married,Food Chemist,6,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,010-07-3932
66,ERP,WALLY,,Rawlinson,1/1/1989 0:00,Male,American,Married,Nuclear Power Engineer,2,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,934-73-3136
67,ERP,FRANKIE,,Juan,12/30/1956 0:00,Male,American,Married,Research Assistant I,3,High,1/1/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,162-40-8420
68,ERP,AUGUSTE,,Alelsandrovich,12/26/1954 0:00,Female,American,Married,Physical Therapy Assistant,5,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,733-95-7303
69,ERP,CARNY,,Marioneau,1/1/1989 0:00,Male,American,Married,Software Consultant,6,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,205-41-5732
70,ERP,GERTRUD,,Capeloff,12/30/1951 0:00,Female,American,Married,Sales Associate,2,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,384-71-4318
71,ERP,INGLIS,,Puve,12/28/1969 0:00,Male,American,Married,Account Executive,3,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,407-44-7168
72,ERP,RICK,,Webberley,12/28/1952 0:00,Male,American,Married,Community Outreach Specialist,4,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,555-80-9911
73,ERP,CAMILA,,Beinke,12/29/1968 0:00,Female,American,Married,Technical Writer,5,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,726-36-6190
74,ERP,CLETIS,,Bushrod,12/28/1952 0:00,Male,American,Married,Business Systems Development Analyst,6,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,205-62-3460
75,ERP,TRIX,,Redmond,1/1/1984 0:00,Female,American,Married,Senior Sales Associate,2,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,405-52-7528
76,ERP,KENNY,,Batchelar,12/27/1970 0:00,Male,American,Married,Marketing Assistant,3,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,834-54-4363
77,ERP,ZITA,,Odam,1/1/1950 0:00,Female,American,Married,Research Assistant II,4,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,991-34-7963
78,ERP,KALILA,,Sore,12/31/1950 0:00,Female,American,Married,Structural Analysis Engineer,5,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,561-29-6850
79,ERP,KENNEDY,,Meugens,1/1/1978 0:00,Male,American,Married,Statistician III,6,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,527-62-8176
80,ERP,DALLAS,,Howcroft,12/26/1976 0:00,Female,American,Married,Environmental Specialist,2,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,153-89-8491
81,ERP,BOBINE,,Napoleon,1/1/1961 0:00,Female,American,Married,Database Administrator III,3,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,938-86-4902
82,ERP,OLIVIER,,Emmer,1/1/1956 0:00,Male,American,Married,Chief Design Engineer,4,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,604-03-0553
83,ERP,PEPI,,Macquire,12/26/1993 0:00,Female,American,Single,Quality Control Specialist,5,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,895-95-9355
84,ERP,BESSIE,,Iscowitz,12/31/1972 0:00,Female,American,Married,Chemical Engineer,6,Low,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,665-70-5576
85,ERP,JACYNTH,,Moncaster,1/1/1956 0:00,Female,American,Married,Occupational Therapist,2,High,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,740-67-7901
86,ERP,RICKY,,Illyes,12/29/1991 0:00,Female,American,Single,Human Resources Assistant III,3,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,500-99-4231
87,ERP,AERIELL,,Brunning,12/27/1953 0:00,Female,American,Married,Physical Therapy Assistant,5,Low,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,024-38-3946
88,ERP,DALIS,,Cromblehome,12/29/1991 0:00,Male,American,Single,Senior Developer,6,High,1/1/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,672-64-5550
89,ERP,HINDA,,Parnaby,12/30/1962 0:00,Female,American,Married,Structural Analysis Engineer,2,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,555-25-3980
90,ERP,NYE,,Stygall,12/27/1981 0:00,Male,American,Married,Legal Assistant,3,Low,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,796-04-3478
91,ERP,PACORRO,,Skevington,12/26/1976 0:00,Male,American,Married,Environmental Tech,5,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,322-73-2005
92,ERP,NEILE,,Jantzen,12/29/1963 0:00,Female,American,Married,VP Sales,6,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,084-37-7026
93,ERP,NICOL,,Taig,12/30/1956 0:00,Male,American,Married,Product Engineer,2,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,095-73-8058
94,ERP,NETTLE,,Sunderland,12/30/1956 0:00,Female,American,Married,Help Desk Technician,3,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,391-40-1204
95,ERP,AGATA,,Muzzullo,12/30/1990 0:00,Female,American,Single,Recruiting Manager,4,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,692-87-5322
96,ERP,KALLE,,Harborow,12/28/1952 0:00,Male,American,Married,Engineer I,5,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,916-49-1342
97,ERP,ANDY,,Barson,12/31/1989 0:00,Female,American,Single,Senior Developer,1,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,671-16-2417
98,ERP,FRANCINE,,Pollak,12/31/1950 0:00,Female,American,Married,Quality Engineer,2,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,712-02-8782
99,ERP,CANDI,,Scrimshire,1/1/1978 0:00,Female,American,Married,Actuary,3,Low,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,692-40-1888
100,ERP,ONOFREDO,,Hazeldine,12/31/1978 0:00,Male,American,Married,Safety Technician IV,4,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,619-81-1360
101,ERP,DEBRA,,Bocke,12/28/1969 0:00,Female,American,Married,Account Representative III,5,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,383-60-5814
102,ERP,BRETT,,Beig,12/27/1970 0:00,Male,American,Married,Senior Editor,6,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,511-86-7448
103,ERP,FAIR,,MacKissack,12/30/1979 0:00,Male,American,Married,Programmer Analyst II,2,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,989-35-4692
104,ERP,HANS,,Bohden,12/29/1957 0:00,Male,American,Married,Paralegal,3,Medium,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,338-82-7179
105,ERP,ADDY,,Pedican,1/1/1956 0:00,Female,American,Married,Senior Sales Associate,4,Low,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,994-06-2424
106,ERP,RICKIE,,Ransley,12/26/1971 0:00,Female,American,Married,Help Desk Technician,5,High,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,981-67-6105
107,ERP,SHELL,,Openshaw,12/28/1969 0:00,Male,American,Married,Office Assistant II,6,Medium,1/1/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,795-34-4052
108,ERP,PRUDY,,Wille,12/31/1950 0:00,Female,American,Married,Research Nurse,2,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,385-95-8493
109,ERP,BOYCIE,,Loche,12/30/1979 0:00,Male,American,Married,Nuclear Power Engineer,3,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,141-96-5438
110,ERP,FREDERICK,,Linde,12/27/1959 0:00,Male,American,Married,Research Assistant I,4,Medium,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,413-77-4973
111,ERP,JESSA,,Faveryear,12/27/1992 0:00,Female,American,Single,General Manager,5,Low,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,678-86-4115
112,ERP,MELODEE,,Lander,12/31/1961 0:00,Female,American,Married,Senior Developer,6,High,12/27/2015 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,038-01-5629
113,ERP,CARLIN,,Sentance,12/31/1961 0:00,Female,American,Married,Health Coach II,2,Medium,12/28/2014 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,937-50-7330
114,ERP,KELSY,,Prue,12/28/1958 0:00,Female,American,Married,Payment Adjustment Coordinator,3,Low,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,658-83-5985
115,ERP,MARIANNA,,Kubanek,12/26/1954 0:00,Female,American,Married,Teacher,5,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,036-54-1706
116,ERP,EMMETT,,Stripp,1/1/1956 0:00,Male,American,Married,Structural Analysis Engineer,6,Medium,12/29/2013 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,053-33-6780
117,ERP,BURNARD,,Montier,1/1/1956 0:00,Male,American,Married,Desktop Support Technician,2,Low,1/1/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,034-29-0549
118,ERP,DOLL,,Batters,12/29/1963 0:00,Female,American,Married,Payment Adjustment Coordinator,3,High,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,941-95-8708
119,ERP,SUZI,,Sherrington,12/29/1968 0:00,Female,American,Married,Analyst Programmer,4,Medium,12/30/2012 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,7/25/2017 0:00,SSN,523-01-1016
